Company Name,Company Type,Industry Sector,Brief Description,Location (County),Location,Website,LinkedIn Profile,Employees,Latitude,Longitude
Accuronix Therapeutics,Research & Development,Cancer/Oncology,Developing targeted therapies for difficult-to-treat cancers using sigma-2 receptor ligands.,St. Louis City,"4340 Duncan Ave # 210
Saint Louis, MO, 63110-1110",https://builtin.com/companies/location/st-louis/type/biotech-companies,,2-10,38.636248,-90.255336
Aclaris Therapeutics (Confluence),Research & Development,Pharmaceuticals,Focuses on immuno-inflammatory diseases; originally Confluence Discovery (acquired).,St. Louis City,"4340 Duncan Ave
Suite 400
Saint Louis, MO, 63110-1110",https://www.aclaristx.com/,https://www.linkedin.com/company/aclaris-therapeutics-inc-,11-50,38.636248,-90.255336
Aferna,Research & Development,Pharmaceuticals,Developing small molecule drugs targeting the DNA damage response for cancer.,St. Louis City,"1100 Corporate Square Dr.
Suite 175
Saint Louis, MO 63132
United States",https://www.afernabio.com/,https://www.linkedin.com/company/aferna,11-50,38.677479,-90.400576
Agragene,Research & Development,Agriculture & Food,Uses CRISPR-based gene editing for eco-friendly pest control in crops.,St. Louis City,"1100 Corporate Square Dr.
Suite 264
Saint Louis, MO 63132",https://www.agragene.com/,https://www.linkedin.com/company/agragene-inc,11-50,38.677479,-90.400576
Agrela Ecosystems,Research & Development,Agriculture & Food,Microbiome-based solutions and data platforms for sustainable agriculture.,St. Louis City,"1100 Corporate Square Dr.
Suite 210
St Louis, Missouri 63132, US",https://www.agrelaeco.com/,https://www.linkedin.com/company/agrela-ecosystems,2-10,38.677479,-90.400576
AirSeal Cardiovascular,Research & Development,Heart & Metabolic Health,Developing biomarkers and diagnostics for cardiovascular disease monitoring.,St. Louis City,,,,,0,0
Allied Blending LP,Manufacturing & Production,Agriculture & Food,"Manufacturer of fiber, starch, and functional blends for the food and dairy industry.",St. Louis City,,https://www.alliedblending.com,https://www.linkedin.com/company/allied-blending-lp,,0,0
Amplifi Vascular,Research & Development,Heart & Metabolic Health,Medical device startup creating vascular access technologies for dialysis.,St. Louis City,"743 Spirit 40 Park Dr.
Chesterfield, MO 63005
Suite #237",https://amplifivascular.com/,https://www.linkedin.com/company/amplifi-vascular-inc,11-50,38.673052,-90.641343
Apertus Pharmaceuticals,Manufacturing & Production,Pharmaceuticals,API manufacturing and formulation development for generic and novel drugs.,St. Louis County,"331 Consort Dr.
St. Louis, MO 63011, US",https://apertuspharma.com/,https://www.linkedin.com/company/apertus-pharmaceuticals,,38.596986,-90.491463
Arch Grain Technologies,Research & Development,Agriculture & Food,Focuses on grain enhancement and agricultural biotechnology.,St. Louis City,"4340 Duncan Avenue Suite #205
Saint Louis, MO 63110",https://www.archgraintechnologies.com/contact,,2-10,38.636248,-90.255336
Armor Medical,Research & Development,Medical Devices & Diagnostics,Wearable device technology for early detection of hemorrhage.,St. Louis City,,,,,0,0
ArrayBridge,"Tools, Instrumentation, & Platforms",Enabling Tools & Platforms,Provides tools for protein characterization and oxidation analysis in drug development.,St. Louis City,"4340 Duncan Ave, Suite 222, St. Louis, MO 63110",https://stores.arraybridge.com/,https://www.linkedin.com/company/array-bridge-inc-,2-10,38.636248,-90.255336
Aurenar,Research & Development,Cancer/Oncology,Developing novel therapeutics for oncology applications.,St. Louis County,,https://www.aurenar.com/,https://www.linkedin.com/company/aurenar-inc,2-10,0,0
Avadel Pharmaceuticals,Research & Development,Pharmaceuticals,Specialty pharma company focusing on narcolepsy and sleep disorders.,St. Louis County,"Block 10-1, Blanchardstown Corporate Park
Ballycoolin
Dublin, 15, IE",https://www.avadel.com,https://www.linkedin.com/company/avadel-pharmaceuticals,51-200,37.536825,-121.967899
Avantor,"Tools, Instrumentation, & Platforms",Enabling Tools & Platforms,"Global provider of mission-critical products and services (chemicals, lab gear).",St. Louis County,,,,,0,0
Axioforce,Research & Development,Medical Devices & Diagnostics,Developing orthopedic devices and bone graft technologies.,St. Louis County,"341 Conway Hill Road, St. Louis, MO 63141-7239",https://www.axioforce.com/,https://www.linkedin.com/company/axioforce,2-10,38.650457,-90.499676
BacterioScan,"Tools, Instrumentation, & Platforms",Medical Devices & Diagnostics,Rapid diagnostic instrumentation for detecting bacterial infection.,St. Louis City,"2210 Welsch Industrial Ct
St Louis, Missouri 63146, US",https://builtin.com/companies/location/st-louis/type/biotech-companies,https://www.linkedin.com/company/bacterioscan-inc-,11-50,38.700387,-90.433775
Bausch & Lomb,Manufacturing & Production,Pharmaceuticals,Large-scale manufacturing facility for eye health products and solutions.,St. Louis County,,,,,0,0
Bayer CropScience,Research & Development,Agriculture & Food,Global headquarters for Seeds & Traits; major R&D campus for crop science.,St. Louis County,"800 N. Lindbergh Blvd.
St. Louis, MO 63167",https://www.bayer.com,https://www.linkedin.com/company/bayer,10001,38.669263,-90.401532
Benson Hill,Research & Development,Agriculture & Food,"Food-tech company using ""Cloud Biology"" to breed better crops (soybeans).",St. Louis County,"1001 North Warson Rd
St Louis, Missouri 63132, US",https://bensonhill.com,https://www.linkedin.com/company/benson-hill,51-200,38.673905,-90.396881
bioio,"Tools, Instrumentation, & Platforms",Digital Health & Clinical Tech,Software platform for streamlining biomedical lab workflows and data.,St. Louis City,"4340 Duncan Ave
236
St Louis, Missouri 63110, US",https://www.bioio.tech/,https://www.linkedin.com/company/bio-io,2-10,38.636248,-90.255336
